station_id,station_name,is_new_in_post,is_removed_in_post,is_interchange,station_codes,line_names,lat,lon,betweenness_pre,betweenness_post,betweenness_delta,closeness_pre,closeness_post,closeness_delta,out_degree_pre,out_degree_post,in_degree_pre,in_degree_post,betweenness_delta_rank_desc,closeness_delta_rank_desc
NS22,Orchard,False,False,True,NS22|TE14,North-South Line|Thomson-East Coast Line,1.3037892216957392,103.83185961720106,0.07883947,0.07947911,0.00063964,0.07384295,0.07443532,0.00059237,4,4,4,4,18,32
NE9,Boon Keng,False,False,False,NE9,North East Line,1.3190856294870317,103.86137095529172,0.0585123,0.05898148,0.00046918,0.06626225,0.06663603,0.00037378,2,2,2,2,19,48
NE8,Farrer Park,False,False,False,NE8,North East Line,1.3121610183985266,103.85433720319526,0.06632038,0.06675607,0.00043569,0.07157258,0.07210343,0.00053085,2,2,2,2,20,36
EW11,Lavender,False,False,False,EW11,East-West Line,1.3073939998022037,103.86284668976303,0.1496021,0.14996807,0.00036597,0.06866538,0.06931166,0.00064628,2,2,2,2,21,24
EW10,Kallang,False,False,False,EW10,East-West Line,1.3116611267596656,103.87165882001496,0.14289282,0.14324713,0.00035431,0.06651054,0.06706753,0.00055699,2,2,2,2,22,35
NE10,Potong Pasir,False,False,False,NE10,North East Line,1.3316720679855651,103.86900119241783,0.05471648,0.05505428,0.0003378,0.06428248,0.06450178,0.0002193,2,2,2,2,23,61
DT17,Downtown,False,False,False,DT17,Downtown Line,1.279553222177013,103.85277105540212,0.01236973,0.01269157,0.00032184,0.06451613,0.06534475,0.00082862,2,2,2,2,24,9
EW9,Aljunied,False,False,False,EW9,East-West Line,1.3163632078243936,103.88248476911996,0.13873073,0.13896871,0.00023798,0.0637057,0.06410256,0.00039686,2,2,2,2,25,47
TE13,Orchard Boulevard,False,False,False,TE13,Thomson-East Coast Line,1.3030436388374476,103.82376675527779,0.02888251,0.0290686,0.00018609,0.07208122,0.07257257,0.00049135,2,2,2,2,26,40
NE11,Woodleigh,False,False,False,NE11,North East Line,1.3389870079378268,103.87083429229013,0.0519695,0.05213282,0.00016332,0.06347787,0.0636244,0.00014653,2,2,2,2,27,72
TE12,Napier,False,False,False,TE12,Thomson-East Coast Line,1.3066404836453698,103.81949519948067,0.02492021,0.02498176,6.155e-05,0.07040159,0.07080078,0.00039919,2,2,2,2,28,46
NS20,Novena,False,False,False,NS20,North-South Line,1.3204953771685692,103.84386453367341,0.06504797,0.06508894,4.097e-05,0.06836784,0.0686553,0.00028746,2,2,2,2,29,55
NS19,Toa Payoh,False,False,False,NS19,North-South Line,1.3327412066251947,103.84728463789433,0.05995357,0.05991653,-3.704e-05,0.06580167,0.06593906,0.00013739,2,2,2,2,38,74
DT18,Telok Ayer,False,False,False,DT18,Downtown Line,1.282211776179462,103.84870717603917,0.01679462,0.01674307,-5.155e-05,0.06635514,0.06712963,0.00077449,2,2,2,2,39,13
EW3,Simei,False,False,False,EW3,East-West Line,1.3426617945337078,103.953818676297,0.00128192,0.00122925,-5.267e-05,0.03767578,0.03772112,4.534e-05,2,2,2,2,40,91
DT34,Upper Changi,False,False,False,DT34,Downtown Line,1.3415477120278756,103.96128514658888,0.0014817,0.00142082,-6.088e-05,0.03753635,0.03758424,4.789e-05,2,2,2,2,41,90
DT33,Tampines East,False,False,False,DT33,Downtown Line,1.3561430882801482,103.95528315107563,0.00174808,0.00167625,-7.183e-05,0.03611394,0.03613257,1.863e-05,2,2,2,2,42,99
NS18,Braddell,False,False,False,NS18,North-South Line,1.340828491675716,103.8467589561811,0.05680704,0.05661193,-0.00019511,0.06484018,0.064906,6.582e-05,2,2,2,2,43,86
TE28,Siglap,False,False,False,TE28,Thomson-East Coast Line,1.3098544576876827,103.92997897887473,0.01408451,0.0137931,-0.00029141,0.03510507,0.03534861,0.00024354,2,2,2,2,44,58
DT2,Cashew,False,False,False,DT2,Downtown Line,1.3698333185962925,103.76423448071098,0.01408451,0.0137931,-0.00029141,0.04054826,0.04058214,3.388e-05,2,2,2,2,47,95
NE17,Punggol,False,False,False,NE17,North East Line,1.4048161949745837,103.90220458929751,0.01408451,0.0137931,-0.00029141,0.04062947,0.04061625,-1.322e-05,2,2,2,2,45,106
EW32,Tuas West Road,False,False,False,EW32,East-West Line,1.330027377185666,103.63953752800171,0.01408451,0.0137931,-0.00029141,0.02434008,0.02431662,-2.346e-05,2,2,2,2,46,111
CC5,Nicoll Highway,False,False,False,CC5,Circle Line,1.2999152246963064,103.86382885147265,0.03121566,0.03079502,-0.00042064,0.06537753,0.06602914,0.00065161,2,2,2,2,48,22
NS10,Admiralty,False,False,False,NS10,North-South Line,1.4404069329400089,103.80085749444697,0.01048846,0.01005747,-0.00043099,0.03091661,0.0307725,-0.00014411,2,2,2,2,49,142
CC6,Stadium,False,False,False,CC6,Circle Line,1.302940656871825,103.8753131111321,0.0247228,0.02428161,-0.00044119,0.06190061,0.06239243,0.00049182,2,2,2,2,50,39
NS23,Somerset,False,False,False,NS23,North-South Line,1.3003680916322324,103.83883951102648,0.02513901,0.02468072,-0.00045829,0.07342296,0.07405516,0.0006322,2,2,2,2,51,30
EW17,Tiong Bahru,False,False,False,EW17,East-West Line,1.286060698644622,103.82724350426975,0.07320281,0.07273308,-0.00046973,0.06478102,0.06543321,0.00065219,2,2,2,2,52,21
DT14,Bugis,False,False,True,DT14|EW12,Downtown Line|East-West Line,1.3002680194792327,103.85620926697864,0.1840642,0.18358876,-0.00047544,0.07160867,0.07235529,0.00074662,4,4,4,4,53,15
EW18,Redhill,False,False,False,EW18,East-West Line,1.289428290017252,103.8171219158162,0.06641028,0.06593231,-0.00047797,0.06094421,0.06144068,0.00049647,2,2,2,2,54,38
CC3,Esplanade,False,False,False,CC3,Circle Line,1.293194362529821,103.85568040869371,0.0126361,0.01211686,-0.00051924,0.06896552,0.06961114,0.00064562,2,2,2,2,55,25
NS11,Sembawang,False,False,False,NS11,North-South Line,1.4489224371143137,103.82001511665648,0.01274431,0.01222063,-0.00052368,0.03234624,0.03222222,-0.00012402,2,2,2,2,56,137
CG1,Expo,False,False,True,CG1|DT35,Changi Airport Branch Line|Downtown Line,1.3351797416167697,103.96239435938978,0.02750308,0.02694764,-0.00055544,0.03884026,0.03889485,5.459e-05,3,3,3,3,57,88
CC7,Mountbatten,False,False,False,CC7,Circle Line,1.3063993179446136,103.88292291421888,0.02067726,0.02011494,-0.00056232,0.0608137,0.06123311,0.00041941,2,2,2,2,58,45
CC4,Promenade,False,False,True,CC4|DT15,Circle Line|Circle Line Extension|Downtown Line,1.2932255017455438,103.860348993272,0.04892951,0.04835568,-0.00057383,0.06797511,0.06872038,0.00074527,4,4,4,4,59,18
TE27,Marine Terrace,False,False,False,TE27,Thomson-East Coast Line,1.3066939402377598,103.91507441029032,0.02796923,0.02739464,-0.00057459,0.03769578,0.037978,0.00028222,2,2,2,2,60,56
DT3,Hillview,False,False,False,DT3,Downtown Line,1.3622792889314002,103.76739837501947,0.02796923,0.02739464,-0.00057459,0.0422242,0.04226173,3.753e-05,2,2,2,2,63,93
NE16,Sengkang,False,False,False,NE16,North East Line,1.391719296776578,103.89548936790362,0.02796923,0.02739464,-0.00057459,0.0441405,0.0441266,-1.39e-05,2,2,2,2,61,108
EW31,Tuas Crescent,False,False,False,EW31,East-West Line,1.3210037067554503,103.64912276518791,0.02796923,0.02739464,-0.00057459,0.02555796,0.02553266,-2.53e-05,2,2,2,2,62,112
NS12,Canberra,False,False,False,NS12,North-South Line,1.443227401411478,103.82971217750564,0.02183432,0.02122446,-0.00060986,0.03372922,0.0336115,-0.00011772,2,2,2,2,64,136
EW19,Queenstown,False,False,False,EW19,East-West Line,1.2948515894133084,103.80589279616889,0.06316385,0.06253193,-0.00063192,0.05894562,0.0593047,0.00035908,2,2,2,2,65,50
NS5,Yew Tee,False,False,False,NS5,North-South Line,1.3974991327789152,103.74726709268901,0.01788033,0.01724138,-0.00063895,0.03051795,0.03045579,-6.216e-05,2,2,2,2,66,123
